mapudungun;espanol;ingles
femuechi ngillatun mülekefuy;estos gillatunes habian;These gillatunes had
fütakeche  tüfa ngewelay;personas mayores ya no hay;older people there are no longer
mülefuy chem tati;habia eso;There was that
welu tutelayngün;pero no lo hacian bien;But they didn't do it well
fey kisa pidikelay mawün;ellos quisas no pedian lluvia;They wish they didn't ask for rain
feyta kake rume ngillatun;era un gillatun diferentes;It was a different gillatun
tüfa wüla pu;ahora recien pues;Now just
feley llemay chi;asi es pues;That's right
kim kimfalwelay;de conosimiento ya no se sabe;of conossation is no longer known
feli lleamy chi peñi;asi no mas es hermano;So more is brother
feli llemay chi;asi es pues;That's right
feyta mapuche rume wingkawtuy;los mapuches se creen huincas;Mapuches believe huincas
pingi feyngepi tüfa peñi;dicen asi dicen hermano;They say so they say brother
yamwetulafi ta ngen ko;no se pierde el dueno del agua;The water owner is not lost
yamwetulafi ta lawen;no se perdia el remedio;The remedy was not lost
ka ta yamwetulafi rume;ahora tamnbien no se valora siquiera;Now tamnbien is not even valued
ta lewfü chumuketufi rume ta ngen lewfü;al rio le hacen cualquier cosa al rio;The river is done to the river
yamwetulafi rume mawida;no respetan siquiera al monte;They do not even respect the mountain
chem rume yamwetulay;no hay nada que respeten;There is nothing to respect
pingi mapuche feyngepi tiam peñi;le diecen al mapuche a si nos dicen hermano;They are seventeen to tell us if they tell us brother
feymu chi müte  fewla;eso no hace mucho;that is not long ago
feli feli tati püta peñi feli;asi es hermano asi es;That's how brother is like this is
ta machi wüyingetuy ta lawen;a la machi se olvido de su remedio;Machi forgot his remedy
mapu lawen mapu mapu ta ni lawen;remedio de la tierra el remedio de la tierra;Earth Remedy The Earth Remedy
wente lawen ta pünoyawiñ;por encima del remedio caminamos;above the remedy we walk
chumuelu ngünechen;porque ngenechen;Because Ngenechen
ngelay itrofill üytungeki  müten;no hay de todo se visita no mas;There is no more visible
kuyfi ngelay feychi dungu;antes no habia ese problema;Before there was no problem
fey  feymu kimlu;por eso por eso conose;That's why Conose
pichiken pu machi wente;un poco las machis;A little machis a little
dewma ta pünoyawimi;ahora anadas caminando;Now he was walking
tuchi tami ngüneduamaymi;de lo que te vas a dar cuenta;What are you going to realize
ta kachu feyta feyta fali;el pasto esto esto vale;The grass this is worth
ta rume kachu;el puro pasto;The pure grass
wüne rupale chi wingka;el primer huuinca que paso;The first huuinca that happened
feyta welulkanetuyiñmu;nos sobre pasa;It happens to us
ka rakiduam tukultuyiñmu;nos dio otro penzamiento;He gave us another penzing
pu  ka rakiduam;otro penzamiento;Another penzing
wewünmangi wewünmangi longko che;le ganaron le ganaron los lonkos;The lonkos won him
rulpapelafiñ chi;no lo abre pasado;It does not open it past
sakilangerkita pu mapuche;le agradecen al mapuche;They thank the Mapuche
tañi rulpangeal;para que lo pasen;To pass it
wall walltuyalngi;andas por todas partes;You walk everywhere
ta ta chem pingeal rume;para que le digan cualquier cosa;To tell him anything
welu dunguy feypingi tati;otras cosas les dicen ese;Other things tell them that
pikünumekengeiñ;nos estan diciendo;They are telling us
feli peñi feli;asi es hermano asi es;That's how brother is like this is
feley peñi feley;asi es hermano asi es;That's how brother is like this is
tüfa mongen mapumew;el vivir en esta tierra;Living on this earth
fey ka pe küme amuli;esto casi va bien;This is almost fine
taiñ chem ta tüfi peñi feyta;que es lo que toco hermano;What do I play brother
fentreken kimün ta yamtuy;artos conosimientos se perdieron;Artos conosities were lost
tüfachi mongenmu;en esta vida;in this life
ka eymi pipimi nga;tamien usted  dijo;Tamien you said
fey  kuyfi fütakeche küfüf kutu;asi personas antiguas;So ancient people
yamkefuy pingi kütral;se la enfermedad dicen;I know the disease say
kom antü rume küme;todos los dias muy buenos;Every day very good
fente küme kimuwkefuyngün;se conosian muy bien;You know very well
chumleal  tripantu;como estara el ano;how will the anus be
kom femuechi dungu kimniekefuy;todas estas cosas se sabian;All these things were known
pingi feyngepefuy tüfi peñi;decian asi era  eso hermano;They said that was that brother
feychi dungumu;esas cosas;those things
ñi füta chawem;mi gran padre;My great father
niekefiñ püta chawem;lo tengo mi gran padre;I have my great father
nütramkakefuy;hablaba;she spoke
pun mülekefuyiñ rukamew;en la noche estabamos en la casa;At night we were at home
küme rakiduamnge chi wentru;hombre de buen pensamiento;man of good thought
pewmaki pi pewmaki;suena dijo suena;Suena said sounds
elungeki kimün;le entregaba saviduria;Saviduria gave him
wüle ta müleay dungu;manana abran asuntos;Manana open matters
epewtuwkülaymi trepeluwküleaymi;tendras lasos;You will have the
müleay ta dungu pingeki;abra algo decian;Open something they say
ta kim rakiduam nielu piw;el que tiene buen conosimiento;The one who has good conossation
piwkentunelu ñi rakiduam;que lleva en el corazon el pensamiento;that has thought in the heart
ngünechen ta kellukeyu ta eymi;ngenechen le ayuda a usted;Ngenechen helps you
ta niaymi tüfa tati femuechi;tendras esto esto de esta forma;You will have this in this way
mülepe antü mülepe pun;que aiga dia que aiga noche;What a day that Aiga Noche
tami pewmayal;para sonar;to dream
feyta ngünechen elkunueymu;eso ngenechen nos dejo;That Ngenechen leaves us
femuechi ka feli kuyfi dungu;asi estaban las cosas antiguamente;So were things in the past
feli kümeke rakiduamnge chi che;asi esta el buen pensamiento de las personas;This is the good thought of people
ngünechen afisakeveyu pingi;ngenechen le avisaba decian;Ngenechen notified him Decian
feymu kürüf pipimi nga mewlen;asi el viento dijo;Thus the wind said
mewlen feyta;viento maligno;Malignant wind
anchimalleñ pingi;animales del agua;Water animals
anchimalleñ pingi;pero ese;but that
welu nütram;pero en conversacion;But in conversation
pütakeche;de las personas grandes;of big people
fellentulay anchimalleñ;no cree en el anchimallen;Does not believe in Anchimallen
piyiñ fellentulay mewlen;no creen en el meulen;They do not believe in Meulen
fellentulay kiñe perimontun rume;no cre ni en el perrimontu;Do not even believe in the dog
fellentulay welu kiñe machi;no cre pero una machi;Do not believe but a machi
feymu mongemi kiñe kutran;ahi viviras en una enfermedad;there you will live in a disease
wingka perimontulu;cuando el hunca hace perrimontu;When the hunca does dog
mongemetuy;hay se mejora;There is improved
kiñe machimu inche;en una machi yo;In a machi I
tüfa faw müli kiñe machi;aqui hay una machi;Here's a machi
prima pikefiñ ptrako püle müli;prima le digo en pitraco esta;I tell him in Pitraco this
mewlemu tueyu pingi chi wingka;lo tomo el remolino le dicen al huinca;I take the swirl tell the Huinca
fey chumuel am kontueyu chi wingka;y porque entro el huinca;And because the huinca entered
welu ngünechen;pero ngenechen;But Ngenechen
elu mapuche müten mongepatuy;el mapuche no mas vive;The Mapuche no more lives
ngünechen elueyu poder;ngenechen le dio el poder;Ngenechen gave him power
ngünechen elueyu rakiduam;ngenechen le dio el pensamiento;Ngenechen gave him thought
porque taiñ mapuchengen feyta;porque somos mapuches;Because we are Mapuches
pi ka pütakeche;dicen las grandes personas;Great people say
fey femuechi ngünevemkefiñ tati;pues asi me doy cuenta;Well, I realize
feyti püta peñi lui;ese gran hermano luis;That Big Brother Luis
ngüneduamkevimi;se a fijado;It has been fixed
may ngüneduamken;si me he fijado;I have noticed
ka rakidumamu nievimi ka;en otro pensamiento lo tienes;In another thought you have it
welu tüfi kürüf;pero toco el viento;But I play the wind
yamnengele  che;si se pierde las personas;If people are lost
yamnefile tüfichi kürüf;si se pierde cualquier viento;If any wind is lost
welu chumlafuy che;pero no le pasa nada la persona;But nothing happens to him
piken inche;digo yo;I say
eymi chempimi kay felepi;y tu que dices que es asi;and you say it is like that
yamngele chumlafuy;si se pierde no pasa nada;If it is lost, nothing happens
ka müli ñi pichin;tambien hay un poco;There is also a little
kim che;persona de conosimiento;conossity person
tuchikünungeal ka pu;donde quedara;Where will it be
wechake ngülam piam;malos consejos dicen;bad advice they say
kürüfrke;como el viento;like the wind
rupaki wechake ngülam;pasan los malos consejos;The bad advice passes
wechake nütram kürüf reke;mala conversacion como el viento;bad conversation like the wind
fey rupa rupakeki;asi pasa y pasa;This happens and passes
entonce iñchiñ kay fey;entonces nosotros tambien;So we too
kümeke nütram küdawngi;buenas conversacion se cuida;Good conversation is taken care of
rupayal küdawngi ñi kimngeal;para pasar para conoserse;To go to go
küdawngi tañi ñi piwken;se cuida mi corazon;My heart is taken care of
tukungeal fey;de tocar eso;To touch that
entungekelay ükümküli che;so no se saca  esta la gente;So do not get the people
kuyfi piam ükümkelafuy pütakeche;antiguamente dicen;Formerly they say
üküm chem pinoal rume;no decir nada;Not saying anything
feyti wüne dungun laki pingi;ese primero;that first
kuyfi welu inche kimpalan;pero antes yo no conosi;But before I do not know
lay lay chi iñchiñ ükümkevuyu;murio murio;Murio Murio
kuyfi pichikechengen;antes cuando era chico;before when he was a boy
tañi pu lamuen ta kude kom;mis hermano los de edad y todos;my brother of age and all
fey kiñe wüne ayelu;el que le gusta primero;the one who likes first
feyta laperkelay pik piwkevuyiñ;abra muerto;Open dead
ñi dungu tati;de su sabiduria;of his wisdom
ngülamfel tati;ese era el consejo;That was the advice
ngülam ta pütakeche tati;el consejos de los mayores;The advice of the elderly
kuyfi ngelafuy papeltun peñi;antes no habia  papel hermano;Before there was no brother paper
welu doy kümelekefuy;pero estaba mejor;But it was better
rakiduam pingeki;el pensaniento decian;The thoughtful said
pütakechemu;las grandes personas;The big people
feyngepefuy tüfi;de ellos eran eso;of them were that
füta küme feli ka;tambien esta mejor;It is also better
feyta ngelafuy ngelafuy estudio;y no habia estudio;And there was no study
papell dungun ngelafuy;papel no habia;Paper was not
welu chem pipieyu ama tayi nga;pero que le dije endenante;But I said endless
ngünechen elukefiyu;ngenechen le daba;Ngenechen gave him
kimün che wewpi fütakeche;conosimientodecian los grandes;Conosimientodecan the greats
wewpi inakevuy dungu;en los discursos se seguian las costumbres;In the speeches the customs were followed
wewpin chumuechi iñ küpan;en los discursos es que venimos;In the speeches it is that we come
doy kuyfi;mas antiguamente;more formerly
fütakeche entukevuy;las personas mayores sacaban;older people took out
femuechi femayiñ;asi lo aremos;So we are
yewentukelay;no siente verguenza;It does not feel shame
tami fütakeche;de tus personas mayores;of your elderly
feypi yewentukelay tami;dijo no tiene verguenza de tu;said he has no shame of your
kiñe ngüllokiñ kiñe mültrün;un ngullokin un multrun;A NGULLOKIN A MULTRUN
karü mürke kachilla kako;arina cruda mote de trigo;Raw wheat nickname
kachilla müllküd;de trigo;wheat
kachilla pingi tachi afün;trigo le dicen esto cosido;wheat they tell him this sewn
kachilla tati;trigo eso;wheat that
feymu kuyfiche;por eso personas antigua;That is why ancient people
fenten newen niyi;tienen arta fuerza;They have arta strength
fenten tripantu amuli;todo estos anos llevan;All these years carry
kuyfi pütakeche;antiguas personas;ancient people
fey tüfa femwelay re;y ahora no se hace;And now it is not done
fidewmu arromu ta elungi;fideos y arroz le dan;noodles and rice give it
weda  müta müten;rapidamente;quickly
ka ngüñituy che;le da ambre a la persona;It gives ambre to the person
ka mürketuy;tambien come harina;It also eats flour
kuyfi che llalla piam;antiguas personas  la suegra dicen;ancient people the mother -in -law say
kuyfi llowngekefuy kakaya ka mürke;antes se recibia con arina;Before it was received with Arina
kuram korü engu kiñe küla kuram;sopa de huevos  unos dos tres huevos;Egg soup about two three eggs
müna küme poyen mülekefuy;habian buenos carinos;There were good Carino
kuyfi fütakeche fey kim kim mapa;las personas antiguas sabian;Ancient people knew
welu kimingün chumuechi ñi poyean;pero sabian de como se queria;But they knew how it wanted
ñi pütakecheengün pu witran;las personas de edad  las visitas;The elderly visits
poyewal;de quererse;to love
poyewal;quererse;love
yamual;respetarse;respect
yamuwal ve fey yamü;respetarse eso respeto;respect that respect
lleno anta femuechi amuy;lleno asi va;Full goes
tati repetawün;el de respetarse;that of respecting
fente küme yamngi;muy buen;very good
kiñe ngillañ kiñe küme malle;un buen cunado un buen tio;A GOOD CUNADO A GOOD Uncle
kiñe deya ñukentu pi ta che;una hermana dice la gente;A sister says people
palu pi kiñekentu;mi tia dijo una vez;My aunt once said
guenu femuchi;bueno de esta forma;well this way
adümkawken mapuche;se lo arregla el mapuche;The Mapuche is fixed
tüfa iñchiñ ramtukiyiñ;esto nosotros preguntamos;This we ask
pikiiñ welu ka;decimos pero;We say but
petu feli ngünechen;todabia esta ngenechen;Todabia is Ngenechen
kiñe wentru kiñe lofmew;un homgre en una comunidad;A HOT -in a community
tripatuy tüfa kiñe machi reke;sale este como una machi;This comes out like a machi
kiñe prediakaorürke;como un predicador;Like a preacher
fey tüfa eymi;pero ahora usted;But now you
tüfa miawtuymi tati peñi;aqui andara usted hermano;here will you be brother
mañümnetuy küme rakiduam;agradece el buen pensamiento;THANK THE GOOD THOUGHT
pelon chew chi amutuay;la vista quisas don fue;The sight wanted Don was
kiñe nütram kañpüle amutuay;una conversacion por otra parte se fue;A conversation on the other hand left
kiñe ngülam;una ensenanza;a teaching
entumeay entumeay;sacara sacara;take out
entumi nütram;saca una conversacion;Take out a conversation
entumi rakiduam;saco el pensamiento;I take out the thought
fey mülenmu rakiduam tati;es por que hay pensamiento;It's why there is thought
ngünechen elimi;ngenechen lo dejo;Ngenechen leaves it
kiñe tami chaw;uno de tus padres;one of your parents
feyta füta chem tripay;salio algo grande;something big came out
tami ñuke kiñe füta chem llegi;su madre;his mother
tami ñuke kiñe füta chem llegi;se fue lena de rama;Lena de Rama left
feyta we choyil entuy;este tiene nuvos hijos;This has nuvos children
feyta doy küme püratuy;asi  sube mejor;Thus it goes better
küme choyin tati;buenos hijos pues;Good children then
fey pewmangelmi;ojala;hopefully
küme amuleay tami küdaw;que vaya bien su trabajo;that your job goes well
pu peñi feymu ta;mis hermenos pues;My hermenos then
femngen pichiken nütramfi tati;asi conversamos un poco;So we talked a little
peñi feli feli tati;hermano asi es;Brother is like that
welu doy petu müli  nütram;pero todabia hay conversacion;But there is conversation
tüfa ramtuafiñ pipen;esto le voy a preguntar dije;I am going to ask you said
tüfi ngillatun ka machitun;esa rogativa y tambien el machitun;that rogative and also the Machitun
ngillatun mmachitun rüf ka feli kam wechuli;rogativa machitunasi no mas es;Rogative Machitunasi no more is
ngillatun;rogativa;rogative
marimari papay;buenos dias mamita;Good morning mommy
ini pingimiam eymi;como se llama usted;what is your name
inche ta ofelia millan ñancu pingen;yo me llamo ofelia millan nancu;My name is Ofelia Millan Nancu
tami lof ta ini pingi tüfamew;tu comunidad como se le dice aca;your community as they are told here
tachi tachi lelfün;este este potrero;This this pasture
ta naranjo che ta inche;yo soy persona de naranjo;I am an orange person
ka naranjo tachi lof;tambien es naranjo esta comunidad;This community is also orange
naranjo pingi;naranjo se llama;orange is called
naranjo;naranjo;Orange tree
chumli tami lof tüfa papay;como esta su comunidad ahora mamita;how is your community now mommy
kümelkaleymün kom;todos se encuentran bien;All are well
chem dungu rume nielaymün;no tienen ninguna novedad;They have no novelty
kom küme felefuyiñ ta;estamos todos bien ahora;We are all right now
ka chumal kay küme limpiavuiñ;y para que vamos adecir que estamos bien;And so we are going to adapt that we are fine
ka ta feliyiñ;ahora tambien estamos asi;Now we are like this too
ta newe falintunelayiñmu tachi wingka;estos huincas como que no nos valoran mucho;These huincas like not value us much
tachi chew tañi mülemum;esto donde nos encontramos;this where we are
tamün lelfün;sus potreros;Your pastures
chemutuay may;se va pone bien si;It goes well if
newe falilu niengekerkey che;aun mas caro les tenian a uno;even more expensive they had one
rume chempikiyiñ pu wingka;le decimos muchos a los huincas;We tell the Huincas many
kellu pifiliyiñ;si le pedimos ayuda;If we ask for help
rume ta kellulayiñmu ta pepi ta;no nos puede ayudar siquiera ahora;You can't even help us now
wüchu nengelu;son aparte;They are apart
feychi chem müten ta müliñ tachi lelfün;esa vez estabamos no mas en este potrero;That time we were no more in this pasture
wichunentunengimün;los tienen aun lado;They have them even side
kom kiñenpüle nentunengeyiñ;a todos nos estan dejando a un lado;They are all leaving us aside
iñchiñürke;como nosotros;like us
tachi tañi velen kiñenpüle tripatuyiñ;es nuestra situacion estamos arrinconados;It is our situation we are cornered
kiñeñpüle fam entuneyiñ;nos estan sacan do aun lado;They are even brought to us
ta wingka newe falilngelayiñürke;en el huinca como no nos valoran;In Huinca as they do not value us
ta tañi mülenmu;por estar aqui;for being here
iñchiñ ta falilngekelayiñ ke;a nosotros no nos valoran si;They do not value us if
ka chem rume ta mütrümtuliñ;y si llamamos cualquier cosa;And if we call anything
ta rüpülmuyiñ pifiliñ rume;si le decimos que necesitamos camino;If we tell you that we need the way
kejawpuliñ rume ta wingkamu;aunque vayamos en grupo en el huinca;Even if we go in a group at Huinca
falilngelayiñ;no nos valoran;They do not value us
chumuelu chi;como sera;as will be
inche kom kom niefun tati;yo lo tengo todo todo tengo pues;I have everything I have then
chem  entumaviñ;que le he sacado;that I have taken
ñi pidiafiñ kiñe ayu kellu pipefuiñ;una ayuda le voy a pedir ayuda le habiamos dicho;I am going to ask for help we had told him
ta chumul miawfun;la otra vez anduve;The other time Anduve
rüpü kümelngean;me van ensenar el camino;The way are going to teach me
ta püle apuraw dungu mülele;por aqui si hay cosas de apuro;here if there are trouble things
lef kompam lef kutran;cuando llega una enfermedad de urgencia;When an emergency disease arrives
fante pital famuechi mülekela lef akual;a esta altura no hay hospital asi no hay donde llegar aprisa;At this point there is no hospital like that there is nowhere to get
ngewetulay;ya no esta;It is no longer
feyta nien inche kidureke ta;y esto yo lo tengo como sola;And I have this as alone
mekeki tañi rüpün ta tüfa tukunepay re kidu;estabamos haciendo camino eso solo nosotros;We were making that only us
wecha dungu tati papay;es una mala cosa pues mamita;It's a bad thing because mommy
feymu ta felen ta inche;por eso asi estoy yo;That is why I am
feymu chemün ta falintungekelayiñ ta;por eso no nos valoran ahora;That is why they do not value us now
tachi tañi trokiñ tañi felen piken tamu  ka;es lo que nos parece que es nuestra situacion aca pienso;This is what our situation is here I think
naranjo pingi tamün lof tamu;naranjo se llama su comunidad aca;orange is called your aca community
naranjo chemay;personas de naranjo claro;clear orange
naranjo che ta iñchiñ;nosotros somos personas de naranjo;We are orange people
kom  tachi pu che;todas estas personas;All these people
iñchiñ kom ka tachi lelfün naranju;todos nuestros suelos es naranjo;All our soils is orange
püyelimün waria tamu ka;estan cerca de la ciudad aca tambien;They are close to the city here too
pichi tripaki pichi tripaluwli;sale un poco cuando se  cosecha;It comes out a little when it is harvested
tami waria ini pingiam tüfa;tu ciudad como se llama ahora;Your city what's called now
ta tachi wingkamu  ta feypingi lonquimay;esto en el huinca se llama lonquimay;This in the Huinca is called Lonquimay
lonquimay pingi;lonquimay se llama;Lonquimay is called
lonquimay  lonquimay ta tachi;lonquimay lonquimay es esto;Lonquimay Lonquimay is this
chemtuy wedake dungu;estan calmandose las cosas malas;They are calming bad things
inakimünmu  kutran;le han seguido las enfermedades;Diseases have followed him
mülepüdaki wedake kutran kay;han habido malas enfermedades;There have been bad diseases
kutran müleki;han habido enfermedades;There have been diseases
ka kutran müli;tambien hay otra enfermedad;There is also another disease
inche ka tachi chem tachi pukem;yo durante este invierno;I during this winter
epe rupavun ka lamngen;casi pase pues hermana;almost pass sister
epe rupavun  fey ke amuken pitalmu;casi pase por suerte habia ido al hospital;Luckily I had gone to the hospital
niengepun  namuntu amun;me tuvieron  a pie;They had me on foot
kutrankawün;sufri;I suffered
ini akulay kiñe amulancia;no ninguna ambulancia;No ambulance
kutrankawün puwken;con sacrificio llegaba;With sacrifice it arrived
femngen puwün;apenas llegues;As soon as you arrive
anükünüken pitalmu;me quede sentada en el hospital;I was sitting at the hospital
ka ta felen müten;y segui asi nomas;And I kept like this
ka re femngechi kay pifiñ;y tambien le dije asi nomas;And I also said like this
ngillatufiñ tañi tañi eletew;le pedi al que me dejo;I asked me who left me
chaw feymu ka tüngüñmanu ñi kutran;padre por eso y me calmo mi  dolor;Father for that and I shut up my pain
witra tripapan;sali caminando;I walked
ankapun rupan ngillatufiñ pidifiñ ñi;a media noche pase le pedi le rogue;At midnight, I will ask le rogue
tañi eletew chawelchen pidiviñ newen;a mi padre creador le pedi fuerza;My creator father asked for strength
fey ka kalmay tañi kutran;y tambien asi calmo mi dolor;And also I calm my pain
tüfa ka lamngen ta  operangeavulu inche;y como esto hermano me iba a operar;And since this brother was going to operate
fey tüfa ka amun;y tambien fui;And I also went
tachi ta wüla entupevun;esta hora recien lo habia sacado;This time just had taken it
pituenu engün;me dijeron ellos;They told me
ta feyti fey sentikevun;eso era lo que sentia;That was what I felt
ta pichiken kutran ta senti sentiken;ahora algunos pocos dolores siento aun;Now a few pains I still feel
rume sentikefimi;lo sientes frecuentemente;You feel it frequently
sentikeviñ;lo sentimos;we are sorry
sentiwnge repente;de repente lo siento;Suddenly sorry
ka amukenu chi apuraymeken;por ir apurado tambien;for hurry too
tunten tripantu niyimi;cuantos anos tienes;how old are you
ka witran;tambien me levante;I also get up
inche ta tripantu nien ta;yo ahora tengo mis anos ahora;I now have my years now
mari kechu tripantu amulen;cincuenta anos llevo;Fifty years I have
mari kechu ta fewla amulen fenten;recien ahora llevo cincuenta anos esa cantidad;I just have fifty that amount fifty
kayu mari kechu;sesenta y cinco;Sixty-five
kayu mari kechu may;sesenta y cinco anos si;sixty -five years
mapuymi wingka dungnmu ta;lo haz hecho de tu tierra el idioma huinca;The Huinca language made it of your land
kayu mari kechu;sesenta y cinco anos;sixty -five years
juvilalimi;te jubilaste;You retired
juvila;jubilar;retire
kuvilelan;no estoy jubilada;I am not retired
feyti chumül ka femiawpefun;el otro dia anduve en eso;The other day I walked in that
feychi ruem weya kutranün pipevun;necesito eso por mi mala enfermedad les dije;I need that for my bad illness I told them
tañi pideavül juvilacion;por lo que queria pedir jubilacion;So I wanted to ask for retirement
kellungelan miawpevun wingkamu;no me ayudaron anduve por eso en el huinca;Anduve did not help me for that at Huinca
puwulelmi tami tami tripantu pienu;cuando hayas cumplido con tu edad me dijo;When you have fulfilled your age he told me
ka wüñotripamen;y me volvi sin nada;And I came back without anything
ka puwülkalmi  tami tripantu;cuando cumplas con tu edad;When you turn with your age
fey wüla ta pidiaymi ta kellu;ahi recien vas a pedir ayuda;There you're going to ask for help
tami juvilangen pingen;para que sea jubilada me dijeron;To be retired they told me
amupevunem feymu;habia ido para eso;I had gone for that
femntun pitalmu;por eso nomas en el hospital;That is why I just in the hospital
falilmangelay;no me lo hicieron valer;They didn't make it worth
chem kutranngen nievun;la enfermedad que yo sufria;The disease I suffered
kutran chumül epe upafün;por dolor la otra vez casi vine;By pain the other time almost came
kelluvenew kay kakelu faliltuwetulay;me ayudo pero los otros no lo validaron;It helped me but the others did not validate it
ñi akulu engün afuera küpay pu;los que llegaron venian de afuera pues;Those who arrived came from outside then
tachi pu mandaw tati;estos son los mandados pues;These are the mandates then
falintuwetulay;ya no es valido;It is no longer valid
faliltuwelay faliltulay;ya no es valido ya no es valido;It is no longer valid is no longer valid
feymu femkünutun;por eso lo deje asi;That's why I leave it like this
ta femlen tati ka konaymi municipalidadmu;por estar asi debes ir a la municipalidad;For being like that you must go to the Municipality
chumal miawafuy;para que va a andar;To walk
müli mapuche municipalidadmu kay;y hay mapuches tambien en la municipalidad;And there are also Mapuches in the Municipality
mülevuy ta chayma ka;esta el chayma tambien;is the chayma too
newe inche fey newe faliltupelayiñ pi kakelu;yo no creo tanto los otros dicen ese ni valida mucho;I don't think so much say that or valid a lot
inche kontupelafiñ;yo he recurrido a el;I have resorted to him
kontupelafiñ chayma;no he visitado a chayma;I have not visited Chayma
ta müli ta municipalidamu;ahora esta en la municipalidad;Now it is in the Municipality
feychi akulu tamu;esa vez cuando llego aca;That time when I arrive here
feypipayiñmu kelluntukuayiñ pi;nos vino a decir que nos ayudaria dijo;came to tell us that he would help us
kellumuan ta votacionmu pipaymu;me tienen que ayudar en la votacion;They have to help me in vote
kellumuiñ pi;ayudenos dijo;Help us said
ngewetulay tañi kelluatew;nada de su ayuda hay ahora;No help now
ta feli;ahora esta asi;Now it's like that
ta müli ta chayma pingi;ahora esta chayma dicen;Now this chayma they say
tachi wentru müli ta feymu ka;este hombre esta para eso alla;This man is for that there
municiplaida;en la municipalidad;In the municipality
müli feymu;esta por eso;This is why
müli feymu;alla esta;it is over there
fey newe kellukelaymi;pero el no te ayuda mucho;But he doesn't help you much
newe kellulay pingepetuy;no ayuda mucho comentan de el;They don't help much comment on him
kakelu mülevuy;estan los otros tambien;are the others too
newe kellulay pipingün;no ayuda mucho le estan diciendo;They don't help you say
iñchiñ ke ta pewpeli;nosotros que no nos hemos hecho ver;we have not seen
inche kontumelaviñ;yo no lo fui a visitar;I did not visit
feypi kakelu;dijeron los demas;They said the others
falilchepelay pingen;no esta valorando personas dijeron;not being valuing people said
feymu konmewetulan puwetulan fey;por eso yo no fui mas no llegue mas;That's why I was no longer more
tüngkefimi kay nütramkakefimi;y lo has calmado y conversado;And you have calmed and talked
kuyfi ngepakevuy tamu;antes venia aqui;Before I came here
ka pewkiyu tüfa;tambien no hemos visto ahora;We have not seen now
malam kelluenew piavun;para que voy a decir que me va ayudar;So I'm going to say that it will help me
kellulay kellulanew;no ayuda no me ayudo;I don't help me, I don't help me
kellulay;no ayuda;It does not help
kellulanew feyti ti;ese no ayudo pues;I don't help that
dungun tukuafinu chi pifiñ;pense que podria;I thought I could
chumül faliltuñmangelayiñ;cuando no nos han valorado;When they have not valued us
faliltuñmangelan;no me lo validaron;They did not validate me
ini dewmalelfuymu fey;eso quien te lo habia hecho;That who had done it to you
feyta dewmavuy tati;el lo puede hacer pues;He can do so then
evángelica pingi tati domo;mujer evangelica dicen;Evangelical woman say
ka vey ka dungutukuvenu;ella tambien me ha hablado;She has spoken to me too
falilnewetulayiñürke ka;casi ya no nos valoran por nada tambien;They almost no longer value us for anything too
ini pingi tüfichi chayma pingi;como se llama este chayma se llama;What is the name of this chayma is called
chayma chayma pingi tay wentru feyti;chayma chayma se llama ese hombre;Chayma Chayma is called that man
chayma;chayma;Chayma
chayma pingi;chayma se llama;Chayma is called
fey rumel kutrankimi eymi papay;y usted siempre se enferma mamita;And you always get sick mommy
rume kutranmeken chi;siempre he estado enferma pues;I've always been sick then
pichi ka kutranken kiñekemu;a veces me enfermo un poco;Sometimes I get a little sick
ta femnge miawken;apenas ando asi;I just walk like this
trekallawken;ando caminando;I'm walking
treka tripan tiwpüle;salir a caminar por alli;walk out there
kalmaki ñi kutran;calmaba mi dolor;I calmed my pain
fey fachantü sentinelaviñürke;y hoy dia casi ya no lo estoy sintiendo;And today I am almost no longer feeling it
ngoyma ñi decansaal;olvide descansar;Forget to rest
tuchipüle cansatupatuli;por donde vienes a descansar;Where are you coming to rest
llawfenmu rume  umawnagveman;o en la sombra nomas me quedaria dormida;or in the shadow I would fall asleep
feyta felen;y estoy asi;And I'm like this
ini pingi tami kutran;como se llama tu enfermedad;What's your name your disease
feyta velen;y asi estoy;And so I am
nel peñmaleymi;tienes y no te lo han identificado;you have and have not identified you
feypienu;seguramente es eso;Surely that is
ta chem dewmalimün;y lo se hagan;and do so
ta pültrüntukunieñman;y lo andare trayendo colgado;and I will walk it hanging
kimüñkimlafimi  ñi üy tami kutran;no sabes el nombre  de tu enfermedad;You don't know the name of your illness
kimüñfinen tati;pero lo conozco pues;But I know him then
chem kura taniey pingen;eso tienes piedra me han dicho;That you have stone have told me
ka tañi afectali tañi pel pingen;y tambien esta afectada de su cuello me dijeron;And he is also affected by his neck they told me
tüfa punwi kuyfi;ahora esta lista de antes;Now this list of before
epe langümvenew;casi me mato;I almost kicked
kimlan chemu ñi femün;no se por que me paso;I don't know why I spend
rapi mollfüñem;vomite sangre;Vomite blood
yque feyta kimüñmangelan ka;y esto no me lo identificaron tambien;And this did not identify me too
niyimi ta asmatiko pienu;eres asmatica me dijo;you are asmatic told me
feyti ni feyta ka xaminangen;eso tenia y me examinaron;I had that and examined me
chumlaymi;no te hizo nada;did nothing
chumlanu;no me hizo nada;did nothing to me
re tachi mapuche lawen;solo este remedio mapuche;Only this Mapuche remedy
fey pichiken püatokon;y eso lo tomare en pequenas dosis;And I will take that in small doses
